student_id,student_name,hours_of study,Lessons_attended,Final Grade
267,Ninnette Walbridge,10,15,10
268,Larina Bownas,93,8,7
269,Kati Abraham,67,26,19
270,Ian Viscovi,22,37,18
271,Stanleigh Edison,87,24,7
272,Arlyne Beavan,45,11,1
273,Tony Brissard,89,16,3
274,Jacinthe Banasevich,84,1,20
275,Patience Winterbottom,59,13,12
276,Jedidiah Charity,95,34,18
277,Dickie Hinckley,57,11,16
278,Thorsten Sissons,41,26,12
279,Anne-marie Dangerfield,80,17,5
280,Mindy Ansell,5,4,4
281,Holt Rolingson,92,12,11
282,Trixie Letcher,31,19,19
283,Phedra Reckhouse,94,22,18
284,Modestine Runham,19,25,2
285,Kerianne Blampied,51,38,18
286,Abbie Lande,22,10,5
287,Robinetta Vittori,42,8,3
288,Noll Arghent,96,21,9
289,Florina Domerque,27,26,17
290,Nickie Gouthier,99,23,2
291,Dory Strover,54,18,19
292,Lancelot O'Doohaine,26,21,7
293,Ollie Tunniclisse,53,18,18
294,Paige Blanche,24,9,5
295,Kathleen Fend,80,9,13
296,Livia Wilber,20,13,14
297,Gabriellia Crownshaw,61,6,1
298,Doria Brizland,90,35,13
299,Dukey McIlriach,33,15,6
300,Rebecka Rosenkranc,32,32,9
301,Carleton Land,54,9,3
302,Halsey Biaggioni,43,24,2
303,Patten Kermannes,27,2,16
304,Demetra Greaser,38,39,17
305,Brenn Borborough,34,12,15
306,Adda Ivamy,72,8,15
307,Horst Drissell,1,38,16
308,Barny Osbaldstone,82,6,14
309,Ondrea Blaise,31,21,2
310,Merv Cloutt,42,21,17
311,Hendrik Byars,6,9,14
312,Elke Boecke,71,28,9
313,Fredric Phette,31,14,8
314,Katrina Lusty,29,35,19
315,Ottilie Bree,76,22,19
316,Corette Roebuck,37,17,4
317,Beatrisa Hearn,41,37,10
318,Garik Madge,47,10,6
319,Timothy Laister,80,13,20
320,Goraud Pleasance,52,8,11
321,Georgeanna Gladeche,78,5,14
322,Jacky Phillps,27,8,6
323,Moyna Rawlingson,64,29,7
324,Arliene Marusyak,25,17,8
325,Alonzo Espinosa,57,14,12
326,Tymon Raywood,90,19,9
327,Rois Liverock,11,14,2
328,Ortensia Gabbidon,24,1,8
329,Garrek Ludlam,50,15,20
330,Gusella Sailor,18,28,11
331,Jennica Garstan,39,20,14
332,Cynthia Danton,61,29,5
333,Alverta Clohisey,7,35,12
334,Brigid D'Onise,9,38,14
335,Evangelina Patel,94,24,7
336,Kym Philippon,58,1,15
337,Tabby Dowden,30,36,15
338,Fleur Dobby,54,34,14
339,Karisa Humbee,69,37,3
340,Karel Dobrowolny,3,27,7
341,Spence Bremen,62,6,4
342,Cordell Tawton,71,19,1
343,Juana Boissier,59,3,2
344,Joela Troak,40,33,19
345,Reece Libero,26,25,19
346,Ringo Kennagh,97,14,6
347,Helaine Stoeckle,14,16,1
348,Gaston Farrin,38,26,3
349,Ronalda Huggons,99,37,8
350,Shanan Phalip,26,24,6
351,Tedi Robillart,1,23,3
352,Florri Martinuzzi,8,34,14
353,Ingelbert Lingwood,26,8,19
354,Eugenius Pellatt,11,29,11
355,Klement Dentith,16,29,17
356,Barbee Follin,10,31,14
357,Marybeth Coase,14,18,5
358,Quincey Briatt,83,29,9
359,Janet Edgin,9,5,5
360,Richmond Caldwall,92,7,13
361,Zea Rolinson,3,17,5
362,Thekla Crecy,80,6,5
363,Gherardo Chill,67,4,14
364,Andree Coles,5,35,12
365,Wendye Ludlamme,94,13,7
366,Leigha Drysdall,2,28,9
367,Jone Pfeffel,98,38,10
368,Fedora Verheijden,11,18,20
369,Paulette Cawcutt,46,40,18
370,Shannah Maylam,60,31,18
371,Florance Lidgate,79,36,11
372,Shaughn Freezer,53,21,10
373,Salome Boam,92,38,14
374,Nikita Sieghart,1,7,8
375,Gayel Ketton,60,38,19
376,Elvyn Weafer,34,15,12
377,Torrin McGuiness,65,10,11
378,Merralee Sperrett,99,15,3
379,Yardley Teague,95,24,1
380,Lorraine Cattell,78,15,2
381,Woodrow Wanley,10,28,12
382,Clo McCadden,91,29,1
383,Ola Pearde,50,32,19
384,Margarete Schinetti,88,29,17
385,Brand Edmed,77,30,5
386,Ronnie McKenzie,37,29,1
387,Evania Scrimshaw,61,31,1
388,Tracey Riddich,23,12,12
389,Malvin Kier,48,14,7
390,Khalil Reany,90,34,12
391,Ronald Brende,38,27,17
392,Gavrielle Galiero,21,5,13
393,Daron Josef,15,21,8
394,Pen Shaul,77,38,10
395,Pasquale Jakeman,34,4,10
396,Dasya Dollman,68,11,1
397,Dodie Frary,63,39,9
398,Aridatha Nisuis,37,18,3
399,Prisca Simla,3,35,17
400,Clotilda Wyrall,69,29,2
401,Bobby Wildin,52,27,7
402,Harald Eathorne,51,24,2
403,Allix Yell,78,8,1
404,Goddard Pepon,13,1,10
405,Jamison Ciccerale,12,15,17
406,Morie Musla,62,8,1
407,Danie Betke,69,5,1
408,Lavinie Drakeley,99,23,15
409,Diane-marie Vanns,26,34,1
410,Maure Niemetz,22,20,19
411,Conant Brevitt,4,29,11
412,Rockwell Mecozzi,22,36,13
413,Titus Winterbottom,36,34,10
414,Griffith Ceeley,18,18,11
415,Roselle Blamire,0,34,1
416,Ingamar Boig,94,35,8
417,Leonelle MacAskie,81,16,8
418,Arnold Rowantree,5,14,13
419,Ari Hancorn,97,1,16
420,Sharlene Brognot,68,23,6
421,Corabelle Gentric,48,15,19
422,Rayshell Feldmann,67,6,14
423,Connor Lightewood,18,40,12
424,Sandra Coleman,3,29,4
425,Ron Reford,16,40,20
426,Henrie Lamba,62,37,10
427,Jolie Scoines,3,6,19
428,Averil Seys,67,5,11
429,Luella Shadrack,50,36,9
430,Tomaso Ozanne,82,36,18
431,Mariya Lequeux,9,31,13
432,Nedda Aldous,50,6,10
433,Elfreda Haney`,88,31,2
434,Mac Riceards,14,3,7
435,Dede Rohfsen,43,14,15
436,Virgie Desmond,44,1,17
437,Hurleigh Rowaszkiewicz,56,25,18
438,Brit Mannin,37,12,5
439,Egan Roly,1,16,13
440,Maressa Newland,48,25,11
441,Sigismundo Crenshaw,42,22,18
442,Carmelia Cleef,65,16,9
443,Bastian Domnin,25,25,20
444,Felicia Henderson,17,6,2
445,Tucky Bulfoy,6,29,4
446,Oby Redwood,78,29,20
447,Fanya Fetter,54,35,12
448,Blondie Vaney,62,6,13
449,Adriaens Shergold,57,6,9
450,Jsandye Fludder,94,16,9
451,Ainslee Chasmor,62,35,12
452,Crystal Jerdon,75,18,20
453,Idette Woodwin,67,32,7
454,Cris Pilbury,54,40,13
455,Leonard Paulmann,70,14,10
456,Cacilia Greet,95,33,5
457,Adolph Izhakov,62,8,3
458,Elwira Ughelli,34,35,11
459,Bruce Nann,32,1,7
460,Berna Sabine,8,16,16
461,Malvina Trowbridge,89,35,14
462,Haskel Tozer,1,33,19
463,Reagen Finan,43,8,3
464,Patsy Currall,78,17,13
465,Jeremie Bicheno,29,2,9
466,Dusty Hafford,34,26,16
467,Faunie Deware,58,1,13
468,Corissa McCurt,16,33,5
469,Sheri Gunningham,15,32,7
470,Osbourne Pinock,87,13,15
471,Ginelle Dey,43,26,18
472,Glyn Dumpleton,97,37,17
473,Inglebert Neilan,97,16,12
474,Isabella Halso,72,22,14
475,Burnard Putley,5,27,18
476,Nicolas Templeton,18,1,13
477,Mildred Paszak,16,36,1
478,Merrill Cattermoul,62,22,7
479,Merline Gilbane,38,27,18
480,Earle Buterton,34,18,10
481,Itch Siemons,29,35,15
482,Malynda Moses,17,5,5
483,Hayes Gaddie,34,6,5
484,Ringo Connachan,36,10,7
485,Amalita Methuen,54,14,17
486,Philippe Keam,78,10,9
487,Petra Grout,2,32,14
488,Linnea Rougier,10,5,9
489,Clayson Petrina,84,19,7
490,Rockwell Thies,13,11,6
491,Hobard Salandino,4,8,11
492,Ryley Maureen,62,25,6
493,Andres Ruttgers,86,36,2
494,Launce Bartkowiak,19,27,11
495,Israel Tolworthy,99,7,11
496,Lloyd Gatcliff,75,14,4
497,Ardine Feldfisher,27,24,9
498,Johanna Wark,41,13,15
499,Sheila-kathryn Beamish,31,24,7
500,Rorke Raiston,6,39,2
501,Witty Cryer,61,10,7
502,Beatrisa Fretter,97,14,3
503,Conrad Tiernan,83,21,8
504,Ardis Clougher,93,12,2
505,Gare Clementson,21,23,7
506,Herrick Algate,84,14,14
507,Rivkah Lancetter,77,26,11
508,Jillene Sharrock,26,12,8
509,Scottie Coronas,3,31,7
510,Denise Muller,74,13,20
511,Faunie Muddimer,100,31,3
512,Bill Waterhowse,86,27,18
513,Bertrand Kimbly,23,29,4
514,Roxana Bastiman,96,36,6
515,Pammy Anan,9,9,17
516,Juana MacWhirter,46,9,6
517,Alvira Towe,35,29,11
518,Boothe Erwin,70,5,20
519,Meridel Petru,74,30,12
520,Lockwood Garfield,51,27,9
521,Alene McCrory,73,33,6
522,Fransisco O'Halloran,94,30,9
523,Si Dumbreck,76,7,17
524,Lorianna Klimus,57,8,15
525,Chelsea Seedman,67,25,13
526,Ossie Rootham,40,19,17
527,Arvie Embury,91,6,15
528,Maximo Riccelli,43,21,14
529,Delinda Rockhill,32,30,1
530,Jaymee Petett,30,36,16
531,Monique Segar,74,39,18
532,Winn Genthner,64,2,2
533,Jenilee Kersey,83,13,8
534,Harper McCook,52,8,15
535,Regen Oaten,3,25,6
536,Charil Harrinson,49,25,17
537,Seth Sutherden,5,28,7
538,Natal Frowd,55,10,19
539,Antonietta Immer,12,31,10
540,Jorgan Hessay,39,1,13
541,Ryon Georgescu,84,5,14
542,Sherlocke Mitchall,85,16,13
543,Chucho McElwee,69,21,11
544,Townie Dicey,40,26,4
545,Brennen Leeson,46,26,7
546,Janella Colomb,19,38,7
547,Matelda Petrakov,65,7,5
548,Irwinn Ebbutt,18,26,10
549,Mellisent Searson,34,37,5
550,Kara-lynn Marchington,16,2,8
551,Wolf McArte,15,22,9
552,Abigail Rosi,30,26,1
553,Verney Van Der Straaten,44,12,2
554,Riordan MacKinnon,66,15,5
555,Kelley Mullins,30,23,3
556,Hobie Seely,98,19,4
557,Jacki Beazey,27,39,10
558,Lucila Duggan,36,29,7
559,Adrienne Ferne,68,9,16
560,Humphrey Spanswick,14,26,13
561,Emmanuel Leonard,75,30,19
562,Dareen Taylerson,45,25,7
563,Lauryn Wadesworth,2,29,12
564,Leonora Hadfield,63,16,8
565,Kerrill Huttley,56,3,13
566,Madlen Duffrie,9,37,19
567,Gwendolyn Pheby,39,7,6
568,Maud Caustic,78,13,4
569,Borden Tubby,94,15,12
570,Sibeal Colquhoun,6,8,10
571,Lewes Giffard,72,13,16
572,Jonathon Yashaev,6,32,13
573,Giulietta Dollman,82,15,20
574,Catharina Golbourn,7,7,7
575,Barry Cram,62,18,2
576,Neron Axford,86,32,3
577,Ellette Macallam,44,13,16
578,Vale Poyzer,50,21,15
579,Roseanna Neesham,75,12,15
580,Hale Messitt,39,20,5
581,Marie-ann Keaves,59,24,14
582,Dougy Szwarc,2,17,1
583,Ludwig Tyrrell,66,29,8
584,Leontyne Heintze,52,7,14
585,Ashlin Nares,18,18,8
586,Worthington Orans,84,9,14
587,Clea Bisley,44,11,19
588,Kirby Benneyworth,53,26,11
589,Marshall Carnaman,19,21,18
590,Gigi Rubinsohn,99,1,12
591,Tatiania Lashbrook,100,3,13
592,Winona Witter,13,30,8
593,Shawnee Ghidoni,37,15,13
594,Felicio Pratty,77,24,13
595,Amargo Howchin,13,3,18
596,Paquito Landre,54,23,14
597,Faith Ferandez,77,37,15
598,Nicolis Stedman,41,30,3
599,Richart Meates,39,39,4
600,Bessy Angear,95,26,15
601,Conway Fairfull,0,36,8
602,Siffre Peyro,0,6,18
603,Raine Findon,61,20,17
604,Cordula Pietruschka,6,25,16
605,Clerissa Keddie,13,8,13
606,Demetria Callear,30,32,16
607,Manda Sketh,96,27,2
608,Raven Leydon,16,1,8
609,Halsy Kidd,80,3,1
610,Nicoline Mc Queen,14,7,13
611,Jo O'Sirin,90,36,18
612,Burl Ridgwell,50,7,2
613,Margy Nairne,68,29,15
614,Shea Cobley,33,27,18
615,Charmane Borwick,91,9,15
616,Truda Tipperton,12,34,10
617,Rickard Stickland,72,29,8
618,Grady Braham,54,10,17
619,Tamarra McMackin,28,13,9
620,Sandro Spickett,83,3,3
621,Orazio Sally,81,7,19
622,Fremont Guyver,57,31,14
623,Charlie Samweyes,48,7,12
624,Nehemiah Cicco,62,13,6
625,Pansy Klamp,18,4,9
626,Dame Pesek,76,3,7
627,Arabel Crowdace,97,20,11
628,Theresa Lytle,52,34,17
629,Else Figgins,28,31,14
630,Emogene Hitchens,78,36,14
631,Aron McKinnon,80,32,5
632,Tibold Christoforou,15,28,6
633,Nealon Biggadyke,74,28,8
634,Herta Adamov,40,29,5
635,Vito Gregh,17,9,11
636,Parker Matherson,99,25,17
637,Andres Guillford,4,38,9
638,Darcy Carsey,63,4,13
639,Ambrosio Chanders,83,34,6
640,Sidonia Sprigings,28,20,18
641,Filippo Fearnley,35,23,5
642,Arluene Hampson,86,2,15
643,Ber Tessier,27,1,5
644,Bartholemy Nuzzi,49,3,13
645,Calli Cristofanini,77,27,9
646,Tyne Gilman,13,2,11
647,Amandi Capsey,94,3,3
648,Junina Whewell,76,22,10
649,Jemmie Gerant,16,10,1
650,Rogers Vanyatin,11,2,2
651,Leo Tooth,82,18,5
652,Noell Durdan,60,16,4
653,Isador Clacey,75,24,16
654,Cece Ingleston,51,33,13
655,Sherman Glanert,93,14,6
656,Marita Kynder,86,18,14
657,Frank Dorken,61,10,7
658,Reggie Handy,23,22,13
659,Glennis Bonafacino,67,22,4
660,Tyson Gartside,81,40,19
661,Ginnie Priditt,15,8,18
662,Rhoda Duker,40,22,8
663,Trstram Whetnall,81,31,2
664,Artus Matthai,75,31,11
665,Saul Goodwill,84,35,8
666,Fiona Ablewhite,44,35,15
667,Milly Redman,5,13,13
668,Edith Winstanley,78,10,7
669,Kennett Grisenthwaite,17,40,5
670,Cathy Billingsly,46,15,8
671,Ardisj Tremayne,27,37,18
672,Bonnie Dovermann,53,1,13
673,Delia Fabri,55,26,11
674,Ker Yerlett,63,37,2
675,Nedi Blanckley,1,34,1
676,Cortney Bastow,66,23,11
677,Consuelo Le Leu,24,16,2
678,Dilly Novis,29,18,7
679,Martie Gladdifh,78,25,19
680,Carlene Tampin,100,20,5
681,Krispin Pendock,28,29,16
682,Darleen Izachik,63,19,18
683,Petunia Kinane,92,33,6
684,Vinnie Linde,84,25,1
685,Danette Chaudhry,100,6,9
686,Jervis Gravenell,94,39,4
687,Franciskus Lavigne,20,1,3
688,Reggi Tollit,44,35,6
689,Chauncey Chamney,45,19,2
690,Ariana Langmuir,20,37,4
691,Ardine Base,60,25,13
692,Chen Hexham,42,13,16
693,Celestine Slocumb,52,8,4
694,Puff Gerard,68,31,2
695,Tull Arndtsen,34,36,17
696,Auguste Stockell,28,40,6
697,Hermina Heeks,65,31,6
698,Fifi Garken,60,7,17
699,Cello Melton,100,8,3
700,Cull Zylberdik,68,24,6
701,Alene Bartlet,12,13,17
702,Gonzalo Schwieso,42,19,10
703,Trenna Traite,3,37,12
704,Thebault Waggatt,14,6,2
705,Wallis Gregh,72,40,16
706,Reyna Somers,99,3,12
707,Donovan Lohan,43,9,12
708,Hi Foskett,47,39,15
709,Delly Lief,59,21,5
710,Bibbye Rames,13,5,20
711,Berrie Anthona,65,23,12
712,Brock Staves,24,21,15
713,Alyda Toffel,7,23,10
714,Danika Pinkard,88,16,4
715,Saree McTaggart,100,7,11
716,Selby Arrandale,82,19,4
717,Niels Goding,67,17,10
718,Amalia Pashen,12,15,13
719,Min Crookall,90,16,4
720,Weber Ubsdall,12,40,12
721,Krystal Allmen,96,4,1
722,Garvy Doni,24,38,18
723,Land Hedger,50,2,10
724,Friederike Persence,7,14,4
725,Welbie Surman-Wells,26,25,3
726,Leeann Roper,19,14,9
727,Eula Learmouth,55,39,19
728,Clarance West,46,35,1
729,Elnar Bendelow,83,15,5
730,Irwin Merchant,60,29,16
731,Emanuele Pashby,100,1,12
732,Birch Brugemann,87,32,3
733,Prudence Abreheart,60,13,15
734,Emmett Halifax,6,21,3
735,Farley Janovsky,96,26,14
736,Misty Kuban,43,15,10
737,Anders Corkill,1,38,8
738,Tirrell Dods,71,30,14
739,Gan Torrecilla,46,5,4
740,Willie Menere,79,27,5
741,Frederico Church,64,10,4
742,Munroe Crummy,83,39,1
743,Nannette McCrossan,6,23,19
744,Lise Scholar,36,36,1
745,Betta Balleine,25,39,20
746,Alden Tift,16,38,11
747,Diane-marie Launchbury,63,7,4
748,Barnie Kitter,63,9,15
749,Erek Poker,80,25,8
750,Darin Hockey,69,36,12
751,Michaela MacLachlan,16,11,10
752,Paulita Leek,14,11,3
753,Clemens Kees,55,31,11
754,Wood Marvell,39,28,6
755,Prudy Disley,4,22,10
756,Maxy Gammill,93,32,2
757,Abagail O'Lochan,95,14,20
758,Silas Stutard,26,40,4
759,Jobi Betterton,46,31,18
760,Uri Bemand,18,12,11
761,Laina Pickaver,82,11,3
762,Noellyn Joyner,59,19,4
763,Evangelin Danton,11,12,13
764,Jewel Beaver,20,13,20
765,Darcee Lant,90,14,16
766,Alfi Tattershall,53,35,3
767,Daffy Hurdle,84,28,18
768,Krystal Faier,30,33,14
769,Billie Quigg,26,32,12
770,Emmye Batcock,62,21,1
771,Daryn Perazzo,96,19,2
772,Estrellita Lethieulier,2,9,14
773,Mattias Bloomer,25,40,7
774,Hailey Hillyatt,95,37,8
775,Sander Rosenfield,35,37,2
776,Novelia Schwanden,100,16,6
777,Sheri Bettenson,70,5,9
778,Harper Ferrierio,53,8,7
779,Kalli Cartledge,74,8,18
780,Gilberte Pentercost,42,8,16
781,Dodi Mc Corley,94,13,13
782,Sergeant Abbay,60,22,20
783,Farly Mithan,91,22,20
784,Agnesse Saffe,12,39,11
785,Pietrek Cowdry,23,26,7
786,Harwilll Langton,89,15,19
787,Netti Breakspear,40,13,14
788,Donovan Derrick,61,25,6
789,Priscella Mulbry,44,21,17
790,Stanford Snalham,6,18,4
791,Marga Graalman,61,40,18
792,Leila Stracey,98,35,9
793,Karly Giffard,39,9,18
794,Fanechka Borchardt,88,2,4
795,Kally Lindgren,64,17,4
796,Rriocard Signe,17,29,19
797,Mackenzie Whordley,8,23,14
798,Noel Bettis,100,12,7
799,Elfrida Testin,27,17,15
800,Miller Baudoux,54,22,16
801,Enrichetta Daish,3,5,2
802,Ingrim Pacheco,77,8,6
803,Julissa Croll,60,10,4
804,Bobine Sealeaf,4,34,9
